headline,source,team_name,type,uploaded_by,video_id,published_platform,published_url,is_published
Headline_50c78c3bdeae,https://obfuscated.source.example/2cb28865070e6c75,Unknown,news bulletin,Adarsh (Frammer),841217136,YouTube,https://obfuscated.published.example/ced5e4b15b793655,True
Headline_4cde38256635,https://obfuscated.source.example/8d1b2bb77b5ccc02,Unknown,news bulletin,Adarsh (Frammer),600257526,,,False
Headline_87742385b497,https://obfuscated.source.example/563bba03ec4a4080,Unknown,news bulletin,Adarsh (Frammer),194749096,,,False
Headline_d38ccb001fbe,https://obfuscated.source.example/aacae8e5b5893d23,Unknown,news bulletin,Adarsh (Frammer),144043912,,,False
Headline_29a0dcd8fbd6,https://obfuscated.source.example/c60e09bd0a49c8e1,Unknown,news bulletin,Adarsh (Frammer),83338002,,,False
Headline_0f1b419fbd5f,https://obfuscated.source.example/a53a1b2dfc38a4a7,Unknown,news bulletin,Adarsh (Frammer),365144133,,,False
Headline_912d6f601f01,https://obfuscated.source.example/8218635b2b50a97a,Unknown,news bulletin,Adarsh (Frammer),557914091,YouTube,https://obfuscated.published.example/6e3bf97dcf11cf68,True
Headline_78e3a63e8083,https://obfuscated.source.example/451e2924abb15b9d,Unknown,news bulletin,Adarsh (Frammer),309151151,,,False
Headline_af66545fccc3,https://obfuscated.source.example/68b3dcdcf6873c4a,Unknown,news bulletin,Adarsh (Frammer),370309852,,,False
Headline_0673532da4ef,https://obfuscated.source.example/71cce3963404fd77,Unknown,news bulletin,Adarsh (Frammer),69930982,,,False
Headline_b878101c4bf9,https://obfuscated.source.example/837e47f5c8051d5d,Unknown,news bulletin,Adarsh (Frammer),920987137,,,False
Headline_e7c551dec9e4,https://obfuscated.source.example/59237a0e0e804638,Unknown,news bulletin,Adarsh (Frammer),662978781,,,False
Headline_6e92e7e55274,https://obfuscated.source.example/9c14ba04dbd750d2,Unknown,news bulletin,Adarsh (Frammer),459974219,,,False
Headline_c955b655a860,https://obfuscated.source.example/ac07a1f955866797,Unknown,news bulletin,Adarsh (Frammer),593662981,,,False
Headline_d3a9b89fb39d,https://obfuscated.source.example/77038635559c6edc,Unknown,news bulletin,Adarsh (Frammer),799103608,,,False
Headline_ef2bcba24bc6,https://obfuscated.source.example/0d92d86fffad1fc3,Unknown,news bulletin,Chandan,411414243,,,False
Headline_80cd5359eaa4,https://obfuscated.source.example/69de75853b89bd87,Unknown,news bulletin,Adarsh (Frammer),680944002,,,False
,https://obfuscated.source.example/f56b63f98d36f1af,Unknown,interview,Neha,552113107,,,False
Headline_c716d52ab6ac,https://obfuscated.source.example/295d1d693a6b3328,Unknown,interview,Neha,758235806,,,False
Headline_aa5c964c652d,https://obfuscated.source.example/14394632c1e25389,Unknown,interview,Neha,93428056,,,False
Headline_d11fd04f81a7,https://obfuscated.source.example/e2df793e0f4dbcdd,Unknown,interview,Neha,707152232,,,False
Headline_1b645219ab22,https://obfuscated.source.example/555808ecade10b29,Unknown,interview,Neha,734304989,,,False
Headline_4ae7f9cb2587,https://obfuscated.source.example/99e26a45960f5fd5,Unknown,interview,Neha,121358202,,,False
Headline_111223b9d531,https://obfuscated.source.example/3ddba8358bfb2961,Unknown,interview,Neha,941635640,,,False
Headline_a0e752350116,https://obfuscated.source.example/1ae76a11ad7d05a8,Unknown,interview,Neha,734272151,,,False
Headline_06411d7861cf,https://obfuscated.source.example/4e210bb431750caf,Unknown,interview,Neha,16618295,,,False
Headline_8acf619fb5a0,https://obfuscated.source.example/00727d969beee4f8,Unknown,interview,Neha,168794988,,,False
Headline_9a11d888ecfd,https://obfuscated.source.example/22d4a1fa1bd1df88,Unknown,interview,Neha,425273547,,,False
Headline_2f0a7e4e0732,https://obfuscated.source.example/340fd3bd7deae0bd,Unknown,interview,Neha,639254826,,,False
Headline_2753df3e86f5,https://obfuscated.source.example/607148f2c2d8750d,Unknown,interview,Chandan,568624871,,,False
Headline_cef0823679aa,https://obfuscated.source.example/3f5ca545b255f96f,Unknown,interview,Neha,956822666,,,False
Headline_9391a34ab048,https://obfuscated.source.example/0888b5263098338d,Unknown,interview,Neha,757130375,,,False
Headline_2993df0ef6ea,https://obfuscated.source.example/34da9f6e815ddbb0,Unknown,interview,Neha,674051441,,,False
Headline_037b3210237b,https://obfuscated.source.example/b3b38ef20835922b,Unknown,interview,Neha,91856518,,,False
Headline_f1c07e57fd98,https://obfuscated.source.example/719c6b6141916328,Unknown,interview,Neha,100245729,,,False
Headline_6914bb648e83,https://obfuscated.source.example/bf28cc1e3f6a05fd,Unknown,interview,Neha,127965732,,,False
Headline_112cc0e93f1b,https://obfuscated.source.example/7392f8e9934a2100,Unknown,interview,Neha,177191461,,,False
Headline_a78c1f95c23b,https://obfuscated.source.example/a52d7c05af3aebc7,Unknown,debate,Trivendra,477376412,,,False
Headline_bf0aa9a59f85,https://obfuscated.source.example/dd9cdd91a3301bdd,Unknown,debate,Trivendra,560965346,,,False
Headline_35c9f1935b94,https://obfuscated.source.example/8c2d554e90e02cee,Unknown,debate,Trivendra,613976989,,,False
Headline_c306476de76b,https://obfuscated.source.example/1c262c2643e54ec1,Unknown,debate,Trivendra,200274517,,,False
Headline_cd0eb5c8ecf5,https://obfuscated.source.example/8dd6c3b61ae59303,Unknown,debate,Trivendra,905264827,,,False
Headline_b370d4252415,https://obfuscated.source.example/7c9ec8d95ad48471,Unknown,debate,Trivendra,139380506,,,False
Headline_79739717735d,https://obfuscated.source.example/4c0208bd945edfb6,Unknown,debate,Trivendra,763363039,,,False
Headline_c21b0db8b5d8,https://obfuscated.source.example/e38c8158cb3d27a4,Unknown,debate,Trivendra,185702459,,,False
Headline_42b697f0b886,https://obfuscated.source.example/3dcd9eaddc972a8b,Unknown,debate,Trivendra,314653766,,,False
Headline_5b1a7b1fd760,https://obfuscated.source.example/85a91a59a68b4edc,Unknown,interview,Chandan,243247307,,,False
Headline_4656c9e37e2b,https://obfuscated.source.example/b0e0f32981cc49d5,Unknown,interview,Chandan,874040645,,,False
Headline_1d89e700b927,https://obfuscated.source.example/87cb44f7a021bfb5,Unknown,interview,Chandan,104771599,,,False
Headline_494dc676b807,https://obfuscated.source.example/64d08a494b2905b1,Unknown,interview,Chandan,125908830,,,False
Headline_e86122100123,https://obfuscated.source.example/72780ad0fde68fca,Unknown,interview,Chandan,378105633,,,False
Headline_e86122100123,https://obfuscated.source.example/1f7beceb36a6e56d,Unknown,interview,Chandan,620698468,,,False
Headline_dba60b9cbd2e,https://obfuscated.source.example/e87e023521a96be0,Unknown,interview,Chandan,420886688,,,False
Headline_5a6beac58189,https://obfuscated.source.example/6adcc3476e37aed9,Unknown,interview,Chandan,897763684,,,False
Headline_60c15a1a791a,https://obfuscated.source.example/ba32d310148e8f4e,Unknown,interview,Chandan,666791597,,,False
Headline_1bc5eb986fb4,https://obfuscated.source.example/64fbebe62ae6d157,Unknown,speech,Shadab,528312214,,,False
Headline_5bee0d3ce4a5,https://obfuscated.source.example/8f73a80d7aabaeb2,Unknown,speech,Shadab,636382357,,,False
Headline_023b00e1baae,https://obfuscated.source.example/924ce3b9247eb764,Unknown,speech,Shadab,734193890,,,False
Headline_37a5c15d4c07,https://obfuscated.source.example/96787d5c26b67c34,Unknown,speech,Shadab,363035931,,,False
Headline_e54b1ed1ac46,https://obfuscated.source.example/584bb43298c8cebd,Unknown,speech,Shadab,235974678,,,False
Headline_989684ef5054,https://obfuscated.source.example/2ae54a7f46c560ca,Unknown,speech,Shadab,739845573,,,False
Headline_604e09000578,https://obfuscated.source.example/17f2fdc217fddfc5,Unknown,special reports,Anamika Singh,700579660,,,False
Headline_99d01b87d3bf,https://obfuscated.source.example/3aae0a3100955f63,Unknown,special reports,Anamika Singh,824938068,,,False
Headline_4cbe180ca13d,https://obfuscated.source.example/7fb70542e4c44012,Unknown,special reports,Anamika Singh,168248493,,,False
Headline_725cbfb1cf56,https://obfuscated.source.example/ed21e4144ae232c1,Unknown,special reports,Anamika Singh,590860515,,,False
Headline_29fb3305b4af,https://obfuscated.source.example/a8125e775876285e,Unknown,special reports,Anamika Singh,389316960,,,False
Headline_0a4729204929,https://obfuscated.source.example/67377b714b09ad82,Unknown,special reports,Anamika Singh,139056105,,,False
Headline_5faa7cf79b9a,https://obfuscated.source.example/7b3ee885c44f8f9d,Unknown,special reports,Anamika Singh,717298893,,,False
Headline_357fdae759d5,https://obfuscated.source.example/8908d9fd321598c5,Unknown,special reports,Anamika Singh,229099257,,,False
Headline_75a2e4a6ca37,https://obfuscated.source.example/6adcc3476e37aed9,Unknown,special reports,Anamika Singh,775536383,,,False
Headline_7570966ad582,https://obfuscated.source.example/00f96f498df06cf3,Unknown,interview,Rakesh (devops@frammer.com),207367337,,,False
Headline_dd856eaf2a00,https://obfuscated.source.example/f2a1a55f6900dac1,Unknown,interview,Rakesh (devops@frammer.com),308835627,,,False
Headline_620b0ed3e2e4,https://obfuscated.source.example/8ce6f0754f5c3aa1,Unknown,interview,Rakesh (devops@frammer.com),535324331,,,False
Headline_c2a4ec46ce54,https://obfuscated.source.example/4d8150d440ceb523,Unknown,interview,Rakesh (devops@frammer.com),124610771,,,False
Headline_ec26c6d2bec6,https://obfuscated.source.example/2ae54a7f46c560ca,Unknown,interview,Rakesh (devops@frammer.com),171207241,,,False
Headline_c2a4ec46ce54,https://obfuscated.source.example/d64d20fca9697f67,Unknown,interview,Rakesh (devops@frammer.com),591575849,,,False
Headline_aa2235d0b4ad,https://obfuscated.source.example/4f9d48de5c1a546a,Unknown,interview,Rakesh (devops@frammer.com),982985074,,,False
Headline_770ea371def4,https://obfuscated.source.example/ad5a92942a76ee02,Unknown,debate,Neha,422987745,,,False
Headline_8bf881bfdc95,https://obfuscated.source.example/ad5a92942a76ee02,Unknown,interview,Neha,744215559,,,False
Headline_d95ed789622e,https://obfuscated.source.example/3254b14d98d5880a,Unknown,debate,Neha,408436127,,,False
